step,J,J_tensor,J_volume,J_reg,volume,grad_rms,step_rms,grey,perimeter,C11,C12,ms
111,1.12854,1.12201,5.58389e-10,0.00652716,0.499976,0.984326,0.0260598,0.0968018,0.24441,0.21105,0.077022,1603.85
112,1.12615,1.11955,5.83139e-10,0.00660417,0.499975,0.984201,0.0260806,0.0959778,0.245334,0.210451,0.0768517,1610.06
113,1.12381,1.11713,6.08383e-10,0.00668157,0.499975,0.984075,0.0261029,0.0950775,0.246252,0.209884,0.0766872,1609.92
114,1.12151,1.11475,6.3372e-10,0.00675924,0.499974,0.983956,0.0261282,0.094326,0.247163,0.209346,0.076529,1609.63
115,1.11927,1.11243,6.57163e-10,0.00683668,0.499974,0.983824,0.0261577,0.0934601,0.248057,0.208847,0.0763794,1611.29
116,1.11711,1.11019,6.81142e-10,0.00691448,0.499973,0.983684,0.0261889,0.0925674,0.248946,0.208394,0.0762389,1609.05
117,1.11501,1.10802,7.06451e-10,0.0069931,0.499973,0.983548,0.0262234,0.0917892,0.249839,0.207987,0.0761069,1609.68
118,1.11299,1.10592,7.31996e-10,0.00707213,0.499972,0.983401,0.0262571,0.0910606,0.250727,0.207622,0.0759836,1616.11
119,1.11104,1.10389,7.56466e-10,0.00715186,0.499972,0.983256,0.0262904,0.090313,0.251617,0.207296,0.0758687,1617.52
120,1.10914,1.1019,7.82367e-10,0.00723248,0.499972,0.983132,0.026317,0.0896416,0.25251,0.207003,0.0757602,1616.05
121,1.10725,1.09994,8.10628e-10,0.00731332,0.499971,0.983016,0.0263424,0.0889168,0.253397,0.206724,0.0756548,1612.96
122,1.10539,1.09799,8.38589e-10,0.00739403,0.499971,0.982899,0.0263675,0.0880814,0.25427,0.206463,0.0755539,1611.02
123,1.10353,1.09606,8.66468e-10,0.00747516,0.49997,0.982775,0.0263918,0.0874214,0.255139,0.206216,0.0754559,1619.02
124,1.10169,1.09413,8.97217e-10,0.00755706,0.49997,0.982645,0.0264151,0.0868111,0.25601,0.205983,0.0753604,1617.71
125,1.09984,1.0922,9.29856e-10,0.00763975,0.499969,0.982527,0.0264388,0.0861702,0.256885,0.205759,0.0752663,1625.55
126,1.09801,1.09028,9.62378e-10,0.0077231,0.499968,0.982423,0.0264603,0.0855217,0.25776,0.205546,0.0751745,1623.68
127,1.09617,1.08836,9.9418e-10,0.00780619,0.499968,0.9823,0.0264806,0.0850067,0.258619,0.205336,0.0750841,1624.71
128,1.09432,1.08643,1.02883e-09,0.00788979,0.499967,0.982177,0.0265022,0.0842896,0.259477,0.205128,0.0749941,1625.12
129,1.09247,1.0845,1.06314e-09,0.00797399,0.499967,0.982066,0.0265226,0.0836563,0.260334,0.204927,0.0749056,1626.32
130,1.09063,1.08258,1.09828e-09,0.00805852,0.499966,0.981951,0.0265427,0.0829201,0.261187,0.204736,0.0748193,1631
131,1.0888,1.08065,1.13443e-09,0.00814353,0.499966,0.981839,0.0265617,0.0822983,0.262036,0.204551,0.074734,1631.16
132,1.08697,1.07874,1.16662e-09,0.00822877,0.499965,0.981721,0.0265788,0.081543,0.262879,0.204367,0.0746489,1623.75
133,1.08515,1.07683,1.20023e-09,0.00831473,0.499965,0.981632,0.026594,0.080761,0.263724,0.204184,0.0745638,1624.7
134,1.08333,1.07493,1.23639e-09,0.00839978,0.499964,0.981529,0.0266093,0.0799522,0.264544,0.204006,0.0744801,1625.74
135,1.08151,1.07303,1.2722e-09,0.00848459,0.499964,0.981417,0.0266255,0.079277,0.26535,0.203832,0.0743974,1622.93
136,1.07971,1.07114,1.30778e-09,0.00856977,0.499963,0.981306,0.0266404,0.0786133,0.266152,0.203663,0.0743156,1631.07
137,1.07791,1.06925,1.34381e-09,0.0086551,0.499963,0.9812,0.0266558,0.0777626,0.266947,0.203499,0.074235,1630.86
138,1.07613,1.06739,1.37881e-09,0.00874083,0.499962,0.981105,0.0266697,0.0768852,0.26774,0.203341,0.0741554,1629.91
139,1.07435,1.06553,1.41233e-09,0.0088266,0.499962,0.981008,0.0266836,0.0765343,0.268523,0.203187,0.0740775,1631.29
140,1.07259,1.06368,1.44819e-09,0.00891237,0.499961,0.980912,0.0266961,0.0760231,0.269298,0.203039,0.0740005,1630.16
141,1.07084,1.06185,1.48262e-09,0.00899789,0.499961,0.9808,0.0267083,0.0754814,0.27006,0.202892,0.0739246,1632.9
142,1.06911,1.06002,1.51881e-09,0.00908362,0.499961,0.980677,0.0267202,0.0748405,0.270817,0.202747,0.0738487,1632.19
143,1.06738,1.05821,1.55707e-09,0.00916995,0.49996,0.980566,0.0267319,0.0744247,0.271574,0.202605,0.0737735,1641.77
144,1.06566,1.0564,1.59695e-09,0.00925645,0.499959,0.980451,0.0267426,0.0739517,0.272325,0.202467,0.0736993,1633.13
145,1.06395,1.05461,1.64074e-09,0.00934355,0.499959,0.980339,0.0267529,0.0734291,0.273077,0.202331,0.0736252,1631.74
146,1.06225,1.05282,1.68589e-09,0.00943075,0.499958,0.980236,0.0267631,0.0727272,0.273822,0.202196,0.0735514,1638.99
147,1.06056,1.05105,1.72696e-09,0.00951787,0.499958,0.980115,0.0267716,0.072052,0.274558,0.202064,0.0734777,1644.89
148,1.05888,1.04927,1.76939e-09,0.00960548,0.499957,0.980001,0.0267814,0.0714874,0.275292,0.201934,0.0734043,1645.64
149,1.0572,1.04751,1.81048e-09,0.00969342,0.499957,0.979899,0.0267905,0.0709152,0.276024,0.201807,0.0733308,1645.34
150,1.05553,1.04575,1.85535e-09,0.00978131,0.499956,0.979788,0.0267994,0.0704384,0.276747,0.201682,0.0732575,1643.46
