step,J,J_tensor,J_volume,J_reg,volume,grey,C11,C12,nu_eff,C_fro,design_rms,dJ_rel,dC_rel,morph_frac,step_rms,grad_rms,simp_p,lambda_reg,frozen,conv_window,candidate,verified,ms,elasticity,termination
112,0.00422619,0.000194895,6.16111e-27,0.0040313,0.257587,0.650423,0.0503957,0.00414899,0.0760659,0.114541,0.000448431,5.00858e-06,0.000397628,0.00041624,0.000690006,0.0172501,2,0.2,1,0,0,0,3595.11,1,RUNNING
113,0.00422126,0.000195432,6.21351e-27,0.00402583,0.257587,0.651031,0.0503889,0.0041718,0.0764617,0.114526,0.000445107,4.93478e-06,0.000393916,0.000224129,0.000688057,0.0172014,2,0.2,1,0,0,0,3582.71,1,RUNNING
114,0.0042164,0.000195962,6.52359e-27,0.00402043,0.257587,0.651511,0.0503819,0.00419429,0.0768521,0.114512,0.000441841,4.86281e-06,0.000390281,0.000352203,0.000686146,0.0171537,2,0.2,1,0,0,0,3584.93,1,RUNNING
115,0.0042116,0.000196484,8.1571e-27,0.00401512,0.257587,0.652008,0.0503747,0.00421647,0.0772372,0.114498,0.000438632,4.79262e-06,0.000386719,0.000192111,0.000684273,0.0171068,2,0.2,1,0,0,0,3556.16,1,RUNNING
116,0.00420688,0.000196999,8.23751e-27,0.00400988,0.257587,0.652456,0.0503674,0.00423835,0.0776172,0.114484,0.000435479,4.72414e-06,0.000383229,0.000400231,0.000682436,0.0170609,2,0.2,1,0,0,0,3588.27,1,RUNNING
117,0.00420222,0.000197507,8.39952e-27,0.00400472,0.257587,0.65268,0.05036,0.00425993,0.0779922,0.114469,0.000432381,4.65733e-06,0.000379809,0.000288166,0.000680634,0.0170158,2,0.2,1,0,0,0,3564.93,1,RUNNING
118,0.00419763,0.000198007,9.44785e-27,0.00399962,0.257587,0.652952,0.0503525,0.00428122,0.0783622,0.114456,0.000429336,4.59212e-06,0.000376454,0.000272157,0.000678866,0.0169717,2,0.2,1,0,0,0,3590.52,1,RUNNING
119,0.0041931,0.0001985,9.66491e-27,0.0039946,0.257587,0.653272,0.0503448,0.00430222,0.0787274,0.114442,0.000426343,4.52849e-06,0.000373164,0.000336194,0.000677132,0.0169283,2,0.2,1,0,0,0,3509.97,1,RUNNING
120,0.00418864,0.000198987,9.95077e-27,0.00398965,0.257587,0.65364,0.050337,0.00432294,0.0790879,0.114428,0.000423401,4.46637e-06,0.000369936,0.000336194,0.00067543,0.0168858,2,0.2,1,0,0,0,3514.64,1,RUNNING
121,0.00418423,0.000199467,1.0073e-26,0.00398476,0.257587,0.653897,0.0503291,0.00434339,0.0794438,0.114414,0.00042051,4.40573e-06,0.000366768,0.000176101,0.00067376,0.016844,2,0.2,1,0,0,0,3511.25,1,RUNNING
122,0.00417988,0.000199941,1.02296e-26,0.00397994,0.257587,0.654201,0.0503211,0.00436357,0.0797951,0.114401,0.000417667,4.34651e-06,0.000363657,0.000400231,0.000672121,0.016803,2,0.2,1,0,0,0,3557.21,1,RUNNING
123,0.00417559,0.000200409,1.03648e-26,0.00397519,0.257587,0.654569,0.0503129,0.00438348,0.0801421,0.114387,0.000414872,4.28868e-06,0.000360602,0.000320184,0.000670512,0.0167628,2,0.2,1,0,0,0,3525.72,1,RUNNING
124,0.00417136,0.00020087,1.14901e-26,0.00397049,0.257587,0.655113,0.0503047,0.00440314,0.0804846,0.114374,0.000412124,4.2322e-06,0.0003576,0.000288166,0.000668932,0.0167233,2,0.2,1,0,0,0,3561.32,1,RUNNING
125,0.00416718,0.000201325,1.29373e-26,0.00396586,0.257587,0.655562,0.0502964,0.00442255,0.080823,0.114361,0.000409422,4.17703e-06,0.000354649,0.000400231,0.00066738,0.0166845,2,0.2,1,0,0,0,3555.51,1,RUNNING
126,0.00416306,0.000201775,1.45238e-26,0.00396129,0.257587,0.65585,0.0502881,0.00444171,0.0811571,0.114348,0.000406765,4.12312e-06,0.000351747,0.000224129,0.000665857,0.0166464,2,0.2,1,0,0,0,3577.51,1,RUNNING
127,0.00415899,0.000202219,1.49144e-26,0.00395677,0.257587,0.656378,0.0502796,0.00446063,0.0814872,0.114335,0.000404152,4.07045e-06,0.000348894,0.000272157,0.00066436,0.016609,2,0.2,1,0,0,0,3556.06,1,RUNNING
128,0.00415497,0.000202657,1.51185e-26,0.00395232,0.257587,0.65681,0.0502711,0.00447931,0.0818133,0.114322,0.000401582,4.01897e-06,0.000346091,0.000304175,0.00066289,0.0165722,2,0.2,1,0,0,0,3563.19,1,RUNNING
129,0.004151,0.00020309,1.69019e-26,0.00394791,0.257587,0.657227,0.0502625,0.00449776,0.0821355,0.114309,0.000399054,3.96866e-06,0.000343333,0.000288166,0.000661445,0.0165361,2,0.2,1,0,0,0,3582.82,1,RUNNING
130,0.00414708,0.000203518,1.72063e-26,0.00394357,0.257587,0.657595,0.0502538,0.00451598,0.0824539,0.114296,0.000396567,3.91948e-06,0.00034062,0.000272157,0.000660026,0.0165006,2,0.2,1,0,0,0,3630.06,1,RUNNING
131,0.00414321,0.00020394,1.73523e-26,0.00393927,0.257587,0.657899,0.0502451,0.00453398,0.0827684,0.114284,0.000394121,3.87141e-06,0.000337951,0.000176101,0.000658631,0.0164658,2,0.2,1,0,0,0,3586.11,1,RUNNING
132,0.00413939,0.000204358,1.75282e-26,0.00393503,0.257587,0.658171,0.0502363,0.00455175,0.0830793,0.114271,0.000391715,3.8244e-06,0.000335323,0.000224129,0.000657259,0.0164315,2,0.2,1,0,0,0,3619.39,1,RUNNING
133,0.00413561,0.00020477,1.78679e-26,0.00393084,0.257587,0.658619,0.0502275,0.00456931,0.0833866,0.114259,0.000389348,3.77843e-06,0.000332737,0.000320184,0.000655911,0.0163978,2,0.2,1,0,0,0,3522.07,1,RUNNING
134,0.00413188,0.000205178,1.82109e-26,0.0039267,0.257587,0.658924,0.0502186,0.00458666,0.0836903,0.114246,0.000387019,3.73347e-06,0.000330191,0.000272157,0.000654586,0.0163646,2,0.2,1,0,0,0,3616.67,1,RUNNING
135,0.00412819,0.000205581,2.01791e-26,0.00392261,0.257587,0.659308,0.0502096,0.00460381,0.0839905,0.114234,0.000384727,3.6895e-06,0.000327683,0.000240138,0.000653283,0.0163321,2,0.2,1,0,0,0,3528.1,1,RUNNING
136,0.00412454,0.000205979,2.04005e-26,0.00391856,0.257587,0.659708,0.0502006,0.00462074,0.0842873,0.114222,0.000382472,3.64648e-06,0.000325213,0.000320184,0.000652001,0.0163,2,0.2,1,0,0,0,3565.28,1,RUNNING
137,0.00412094,0.000206372,2.47317e-26,0.00391456,0.257587,0.660028,0.0501916,0.00463748,0.0845807,0.11421,0.000380253,3.6044e-06,0.000322779,0.000272157,0.00065074,0.0162685,2,0.2,1,0,0,0,3532.31,1,RUNNING
138,0.00411737,0.000206762,2.54881e-26,0.00391061,0.257587,0.660524,0.0501826,0.00465403,0.0848708,0.114198,0.000378069,3.56321e-06,0.000320376,0.000256148,0.0006495,0.0162375,2,0.2,1,0,0,0,3623.31,1,RUNNING
139,0.00411385,0.000207147,2.83843e-26,0.0039067,0.257587,0.660749,0.0501735,0.00467038,0.0851577,0.114186,0.000375919,3.52291e-06,0.000318011,0.000224129,0.00064828,0.016207,2,0.2,1,0,0,0,3517.41,1,RUNNING
140,0.00411037,0.000207527,3.14559e-26,0.00390284,0.257587,0.661181,0.0501643,0.00468654,0.0854415,0.114175,0.000373804,3.48348e-06,0.000315682,0.000304175,0.000647079,0.016177,2,0.2,1,0,0,0,3598.51,1,RUNNING
141,0.00410692,0.000207904,3.19699e-26,0.00389902,0.257587,0.661357,0.0501552,0.00470252,0.0857221,0.114163,0.000371722,3.44488e-06,0.000313388,0.000272157,0.000645898,0.0161474,2,0.2,1,0,0,0,3523.29,1,RUNNING
142,0.00410351,0.000208276,3.25482e-26,0.00389524,0.257587,0.661677,0.050146,0.00471831,0.0859996,0.114151,0.000369672,3.40709e-06,0.000311127,0.000240138,0.000644735,0.0161184,2,0.2,1,0,0,0,3617.31,1,RUNNING
143,0.00410014,0.000208645,3.90755e-26,0.0038915,0.257587,0.661869,0.0501368,0.00473393,0.0862742,0.11414,0.000367654,3.3701e-06,0.000308895,0.000128074,0.00064359,0.0160897,2,0.2,1,0,0,0,3530.56,1,RUNNING
144,0.00409681,0.000209009,4.03141e-26,0.0038878,0.257587,0.662173,0.0501276,0.00474936,0.0865458,0.114128,0.000365668,3.33387e-06,0.000306696,0.000224129,0.000642463,0.0160616,2,0.2,1,0,0,0,3574.1,1,RUNNING
145,0.00409351,0.00020937,4.08285e-26,0.00388414,0.257587,0.662558,0.0501183,0.00476463,0.0868145,0.114117,0.000363713,3.29841e-06,0.00030453,0.000256148,0.000641353,0.0160338,2,0.2,1,0,0,0,3501.59,1,RUNNING
146,0.00409025,0.000209727,4.51077e-26,0.00388052,0.257587,0.66291,0.050109,0.00477973,0.0870803,0.114106,0.000361788,3.26368e-06,0.000302392,0.00020812,0.00064026,0.0160065,2,0.2,1,0,0,0,3629.64,1,RUNNING
147,0.00408702,0.00021008,4.58892e-26,0.00387694,0.257587,0.66315,0.0500997,0.00479466,0.0873433,0.114095,0.000359893,3.22966e-06,0.000300286,0.000304175,0.000639184,0.0159796,2,0.2,1,0,0,0,3504.26,1,RUNNING
148,0.00408382,0.00021043,4.66534e-26,0.00387339,0.257587,0.663358,0.0500904,0.00480943,0.0876036,0.114083,0.000358027,3.19634e-06,0.00029821,0.000112065,0.000638124,0.0159531,2,0.2,1,0,0,0,3600.51,1,RUNNING
149,0.00408066,0.000210776,4.75691e-26,0.00386988,0.257587,0.663726,0.0500811,0.00482403,0.0878612,0.114072,0.00035619,3.16371e-06,0.000296163,0.00020812,0.000637079,0.015927,2,0.2,1,0,0,0,3515.88,1,RUNNING
150,0.00407753,0.000211118,4.80546e-26,0.00386641,0.257587,0.66395,0.0500718,0.00483848,0.0881161,0.114062,0.000354381,3.13173e-06,0.000294144,0.000256148,0.00063605,0.0159012,2,0.2,1,0,0,0,3609.54,1,RUNNING
