# Equal-accuracy ranking using admitted Heat3D per-step costs (N^3, fixed step count). row_kind=order is one stencil; row_kind=cheapest is the winner (fd_order 0 = spectral).
row_kind,family_id,hardware,target_l2,fd_order,content_fraction,relative_cost,beats_spectral
order,isotropic_tophat,lumi-g,1.0000000000e-08,12,2.3395240501e-01,9.0175845402e+00,no
cheapest,isotropic_tophat,lumi-g,1.0000000000e-08,0,1.0000000000e+00,1.0000000000e+00,no
order,isotropic_tophat,lumi-c,1.0000000000e-02,2,2.9470843838e-01,4.0215892802e+00,no
order,isotropic_tophat,lumi-c,1.0000000000e-02,8,8.1377037438e-01,5.0110536018e-01,yes
order,isotropic_tophat,lumi-c,1.0000000000e-02,12,8.9499743472e-01,4.5334908332e-01,yes
cheapest,isotropic_tophat,lumi-c,1.0000000000e-02,12,8.9499743472e-01,4.5334908332e-01,yes
order,isotropic_tophat,lumi-c,1.0000000000e-03,2,9.3345694409e-02,1.2655886043e+02,no
order,isotropic_tophat,lumi-c,1.0000000000e-03,8,5.6407607482e-01,1.5046020006e+00,no
order,isotropic_tophat,lumi-c,1.0000000000e-03,12,6.7814197865e-01,1.0421643819e+00,no
cheapest,isotropic_tophat,lumi-c,1.0000000000e-03,0,1.0000000000e+00,1.0000000000e+00,no
order,isotropic_tophat,lumi-c,1.0000000000e-04,2,2.9484029484e-02,4.0161961699e+03,no
order,isotropic_tophat,lumi-c,1.0000000000e-04,8,4.1522739927e-01,3.7720432535e+00,no
order,isotropic_tophat,lumi-c,1.0000000000e-04,12,5.4734520813e-01,1.9820479309e+00,no
cheapest,isotropic_tophat,lumi-c,1.0000000000e-04,0,1.0000000000e+00,1.0000000000e+00,no
order,isotropic_tophat,lumi-c,1.0000000000e-05,2,9.3167701859e-03,1.2728560147e+05,no
order,isotropic_tophat,lumi-c,1.0000000000e-05,8,3.0413812651e-01,9.5989134240e+00,no
order,isotropic_tophat,lumi-c,1.0000000000e-05,12,4.3153735620e-01,4.0442959065e+00,no
cheapest,isotropic_tophat,lumi-c,1.0000000000e-05,0,1.0000000000e+00,1.0000000000e+00,no
order,isotropic_tophat,lumi-c,1.0000000000e-06,2,2.9455081001e-03,4.0280491762e+06,no
order,isotropic_tophat,lumi-c,1.0000000000e-06,8,2.2528750112e-01,2.3616926616e+01,no
order,isotropic_tophat,lumi-c,1.0000000000e-06,12,3.4875873188e-01,7.6616594434e+00,no
cheapest,isotropic_tophat,lumi-c,1.0000000000e-06,0,1.0000000000e+00,1.0000000000e+00,no
order,isotropic_tophat,lumi-c,1.0000000000e-08,2,1.0000000000e-03,1.0293792939e+08,no
order,isotropic_tophat,lumi-c,1.0000000000e-08,8,1.2586506222e-01,1.3543131307e+02,no
order,isotropic_tophat,lumi-c,1.0000000000e-08,12,2.3395240501e-01,2.5381399875e+01,no
cheapest,isotropic_tophat,lumi-c,1.0000000000e-08,0,1.0000000000e+00,1.0000000000e+00,no
order,isotropic_exponential,lumi-g,1.0000000000e-02,2,9.9451162782e-01,3.1999054291e-02,yes
order,isotropic_exponential,lumi-g,1.0000000000e-02,4,1.0000000000e+00,5.3596483023e-02,yes
order,isotropic_exponential,lumi-g,1.0000000000e-02,6,1.0000000000e+00,7.0199233000e-02,yes
order,isotropic_exponential,lumi-g,1.0000000000e-02,8,1.0000000000e+00,8.7176129455e-02,yes
order,isotropic_exponential,lumi-g,1.0000000000e-02,12,1.0000000000e+00,1.1547095688e-01,yes
cheapest,isotropic_exponential,lumi-g,1.0000000000e-02,2,9.9451162782e-01,3.1999054291e-02,yes
order,isotropic_exponential,lumi-g,1.0000000000e-03,2,3.0578268853e-01,1.1008497666e+00,no
order,isotropic_exponential,lumi-g,1.0000000000e-03,4,6.7527137678e-01,1.7406091747e-01,yes
order,isotropic_exponential,lumi-g,1.0000000000e-03,6,8.3543974079e-01,1.2038904692e-01,yes
order,isotropic_exponential,lumi-g,1.0000000000e-03,8,9.3147808650e-01,1.0786477844e-01,yes
order,isotropic_exponential,lumi-g,1.0000000000e-03,12,1.0000000000e+00,1.1547095688e-01,yes
cheapest,isotropic_exponential,lumi-g,1.0000000000e-03,8,9.3147808650e-01,1.0786477844e-01,yes
order,isotropic_exponential,lumi-g,1.0000000000e-04,2,9.6573406845e-02,3.4945727161e+01,no
order,isotropic_exponential,lumi-g,1.0000000000e-04,4,3.6626928082e-01,1.0907740700e+00,no
order,isotropic_exponential,lumi-g,1.0000000000e-04,6,5.2432080782e-01,4.8701359819e-01,yes
order,isotropic_exponential,lumi-g,1.0000000000e-04,8,6.1079822510e-01,3.8256416206e-01,yes
order,isotropic_exponential,lumi-g,1.0000000000e-04,12,7.0012216346e-01,3.3647382586e-01,yes
cheapest,isotropic_exponential,lumi-g,1.0000000000e-04,12,7.0012216346e-01,3.3647382586e-01,yes
order,isotropic_exponential,lumi-g,1.0000000000e-05,2,3.0537835474e-02,1.1052282730e+03,no
order,isotropic_exponential,lumi-g,1.0000000000e-05,4,2.0348388114e-01,6.3613055272e+00,no
order,isotropic_exponential,lumi-g,1.0000000000e-05,6,3.4532667755e-01,1.7046765085e+00,no
order,isotropic_exponential,lumi-g,1.0000000000e-05,8,4.3379773776e-01,1.0679126580e+00,no
order,isotropic_exponential,lumi-g,1.0000000000e-05,12,5.2757592948e-01,7.8635354046e-01,yes
cheapest,isotropic_exponential,lumi-g,1.0000000000e-05,12,5.2757592948e-01,7.8635354046e-01,yes
order,isotropic_exponential,lumi-g,1.0000000000e-06,2,9.6567443743e-03,3.4952201325e+04,no
order,isotropic_exponential,lumi-g,1.0000000000e-06,4,1.1396392114e-01,3.6210468332e+01,no
order,isotropic_exponential,lumi-g,1.0000000000e-06,6,2.3157830653e-01,5.6524762450e+00,no
order,isotropic_exponential,lumi-g,1.0000000000e-06,8,3.1571869158e-01,2.7701079896e+00,no
order,isotropic_exponential,lumi-g,1.0000000000e-06,12,4.1272279743e-01,1.6424697856e+00,no
cheapest,isotropic_exponential,lumi-g,1.0000000000e-06,0,1.0000000000e+00,1.0000000000e+00,no
order,isotropic_exponential,lumi-g,1.0000000000e-08,2,1.0000000000e-03,3.1475072491e+07,no
order,isotropic_exponential,lumi-g,1.0000000000e-08,4,3.5979248031e-02,1.1507475144e+03,no
order,isotropic_exponential,lumi-g,1.0000000000e-08,6,1.0634431087e-01,5.8369985194e+01,no
order,isotropic_exponential,lumi-g,1.0000000000e-08,8,1.7305094096e-01,1.6821924813e+01,no
order,isotropic_exponential,lumi-g,1.0000000000e-08,12,2.6532500860e-01,6.1821310028e+00,no
cheapest,isotropic_exponential,lumi-g,1.0000000000e-08,0,1.0000000000e+00,1.0000000000e+00,no
order,isotropic_exponential,lumi-c,1.0000000000e-02,2,9.9451162782e-01,1.0465159030e-01,yes
order,isotropic_exponential,lumi-c,1.0000000000e-02,8,1.0000000000e+00,2.7004408794e-01,yes
order,isotropic_exponential,lumi-c,1.0000000000e-02,12,1.0000000000e+00,3.2501104008e-01,yes
cheapest,isotropic_exponential,lumi-c,1.0000000000e-02,2,9.9451162782e-01,1.0465159030e-01,yes
order,isotropic_exponential,lumi-c,1.0000000000e-03,2,3.0578268853e-01,3.6002838617e+00,no
order,isotropic_exponential,lumi-c,1.0000000000e-03,8,9.3147808650e-01,3.3413098170e-01,yes
order,isotropic_exponential,lumi-c,1.0000000000e-03,12,1.0000000000e+00,3.2501104008e-01,yes
cheapest,isotropic_exponential,lumi-c,1.0000000000e-03,12,1.0000000000e+00,3.2501104008e-01,yes
order,isotropic_exponential,lumi-c,1.0000000000e-04,2,9.6573406845e-02,1.1428856267e+02,no
order,isotropic_exponential,lumi-c,1.0000000000e-04,8,6.1079822510e-01,1.1850628248e+00,no
order,isotropic_exponential,lumi-c,1.0000000000e-04,12,7.0012216346e-01,9.4705812664e-01,yes
cheapest,isotropic_exponential,lumi-c,1.0000000000e-04,12,7.0012216346e-01,9.4705812664e-01,yes
order,isotropic_exponential,lumi-c,1.0000000000e-05,2,3.0537835474e-02,3.6146035870e+03,no
order,isotropic_exponential,lumi-c,1.0000000000e-05,8,4.3379773776e-01,3.3080557892e+00,no
order,isotropic_exponential,lumi-c,1.0000000000e-05,12,5.2757592948e-01,2.2133148366e+00,no
cheapest,isotropic_exponential,lumi-c,1.0000000000e-05,0,1.0000000000e+00,1.0000000000e+00,no
order,isotropic_exponential,lumi-c,1.0000000000e-06,2,9.6567443743e-03,1.1430973616e+05,no
order,isotropic_exponential,lumi-c,1.0000000000e-06,8,3.1571869158e-01,8.5809187701e+00,no
order,isotropic_exponential,lumi-c,1.0000000000e-06,12,4.1272279743e-01,4.6229876998e+00,no
cheapest,isotropic_exponential,lumi-c,1.0000000000e-06,0,1.0000000000e+00,1.0000000000e+00,no
order,isotropic_exponential,lumi-c,1.0000000000e-08,2,1.0000000000e-03,1.0293792939e+08,no
order,isotropic_exponential,lumi-c,1.0000000000e-08,8,1.7305094096e-01,5.2109004748e+01,no
order,isotropic_exponential,lumi-c,1.0000000000e-08,12,2.6532500860e-01,1.7400573109e+01,no
cheapest,isotropic_exponential,lumi-c,1.0000000000e-08,0,1.0000000000e+00,1.0000000000e+00,no
order,separable_exponential,lumi-g,1.0000000000e-02,2,1.0000000000e+00,3.1475072491e-02,yes
