# Explanatory diagnostics at matched f; not a fitted replacement for occupancy.
family_id,content_fraction,N,dim,fd_order,energy_high_k,energy_near_cutoff,moment2_over_nyquist2,moment4_over_nyquist4,weighted_d2_defect
separable_exponential,4.5000000000e-01,64,3,2,8.4560125806e-07,5.1441218830e-05,5.8990407358e-03,9.8557266030e-05,6.0537582743e-04
separable_exponential,5.0000000000e-01,64,3,2,3.9984255111e-06,6.2688439521e-05,7.3882172465e-03,1.5277706227e-04,9.3270257239e-04
separable_exponential,5.5000000000e-01,64,3,2,1.4264296998e-05,5.4920040410e-05,9.0355751832e-03,2.2653473274e-04,1.3755500306e-03
separable_exponential,6.0000000000e-01,64,3,2,4.1226446045e-05,5.2099926757e-05,1.0840805764e-02,3.2398113719e-04,1.9574657630e-03
separable_exponential,6.5000000000e-01,64,3,2,1.0135763870e-04,5.8042706292e-05,1.2803708359e-02,4.4966092510e-04,2.7038708557e-03
separable_exponential,7.0000000000e-01,64,3,2,2.1943063228e-04,6.5533378055e-05,1.4924144838e-02,6.0850972076e-04,3.6419529645e-03
separable_exponential,7.5000000000e-01,64,3,2,4.2897379334e-04,5.7603076401e-05,1.7202008800e-02,8.0584696537e-04,4.8005307753e-03
separable_exponential,8.0000000000e-01,64,3,2,7.7165575313e-04,5.6919745804e-05,1.9637198646e-02,1.0473612022e-03,6.2098738770e-03
separable_exponential,8.5000000000e-01,64,3,2,1.2957194716e-03,6.1158781572e-05,2.2229587629e-02,1.3390842461e-03,7.9014612243e-03
separable_exponential,9.0000000000e-01,64,3,2,2.0537400289e-03,6.2019739464e-05,2.4978986801e-02,1.6873512245e-03,9.9076655955e-03
